id,price,sale_yr,sale_month,sale_day,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,old,refurbish
5615100330,200000,2015,3,27,4,2,1900,8160,1,0,0,3,7,1900,0,1975,0,98022,47.2114,-121.986,1280,6532,40,0
8835900086,350000,2014,9,2,4,3,3380,16133,1,0,1,3,8,2330,1050,1959,0,98118,47.5501,-122.261,2500,11100,55,0
9510900270,254000,2014,12,11,3,2,2070,9000,1,0,0,4,7,1450,620,1969,0,98023,47.3085,-122.376,1630,7885,45,0
2621600015,175000,2015,4,30,3,1,1150,8924,1,0,0,3,6,1150,0,1943,0,98030,47.3865,-122.217,1492,8924,72,0
8078350090,619000,2015,3,31,3,2.5,2040,7503,2,0,0,3,8,2040,0,1987,0,98029,47.5718,-122.021,2170,7503,28,0
1061400180,240000,2015,1,6,3,1,1550,12670,1,0,0,4,7,1550,0,1962,0,98056,47.5024,-122.169,1550,8880,53,0
7697870600,158000,2014,9,9,3,2.5,1520,7200,2,0,0,4,7,1520,0,1985,0,98030,47.3679,-122.182,1780,7210,29,0
7812800995,200000,2014,9,5,2,1,790,5985,1,0,0,3,6,790,0,1944,0,98178,47.4941,-122.24,1030,5985,70,0
2953000250,275000,2014,7,31,3,1.5,1900,9737,1,0,0,4,7,1200,700,1968,0,98031,47.4125,-122.207,1670,9737,46,0
5561400740,593500,2015,2,10,5,3.25,4300,50405,2,0,0,3,8,3220,1080,1972,0,98027,47.4615,-122,2680,41684,43,0
7237300090,335000,2015,4,2,5,2.5,2400,4548,2,0,0,3,7,2400,0,2003,0,98042,47.371,-122.127,2200,4465,12,0
1565900390,272000,2015,4,15,4,2.25,1800,9018,2,0,0,3,7,1800,0,1992,0,98022,47.2126,-121.984,1670,9380,23,0
6840700165,202000,2014,7,1,1,1,590,833,1,0,0,4,7,590,0,1926,0,98122,47.6082,-122.299,780,1617,88,0
2320069206,219000,2015,3,25,3,1,1250,8276,1,0,0,5,6,1250,0,1939,0,98022,47.2092,-121.997,1250,8792,76,0
2868900160,222500,2014,10,2,3,1,990,10125,1,0,0,3,7,990,0,1972,0,98042,47.3422,-122.089,1360,10125,42,0
6084600330,260000,2014,8,29,3,1.75,1670,8511,1,0,0,3,7,1340,330,1985,0,98001,47.3257,-122.276,1580,7218,29,0
7229800066,439950,2014,8,19,4,2.25,2780,15075,2,0,0,3,7,2780,0,1985,0,98059,47.477,-122.116,1650,25542,29,0
1450100070,208000,2015,4,30,3,1,990,7420,1,0,0,5,6,990,0,1960,0,98002,47.2898,-122.221,1010,7420,55,0
1561600025,712500,2014,6,3,3,1.5,1660,8797,1,0,0,4,7,1660,0,1956,0,98004,47.5892,-122.202,2350,10053,58,0
263000050,730000,2014,10,31,3,2.5,2160,8809,1,0,0,3,9,1540,620,2014,0,98103,47.6994,-122.349,930,5420,0,0
4337600005,153000,2015,2,3,2,1,710,9000,1,0,0,5,6,710,0,1943,0,98166,47.4811,-122.339,1230,9000,72,0
2267000453,415000,2014,6,27,3,2.5,1060,1536,2,0,0,3,8,1060,0,2000,0,98117,47.6907,-122.395,1220,1316,14,0
7589700055,545000,2014,6,11,2,1.25,1240,2150,2,0,0,3,8,1240,0,2014,0,98117,47.6884,-122.374,1340,5289,0,0
6142100090,279000,2014,7,18,4,2.5,1810,13000,1,0,0,4,8,1470,340,1977,0,98022,47.2202,-121.993,1850,13000,37,0
7831800411,250000,2014,10,20,4,1.75,1510,5500,1,0,0,3,7,1510,0,1920,0,98106,47.535,-122.359,1320,6431,94,0
8122600195,396675,2014,5,20,2,1,1730,6375,2,0,0,4,6,1730,0,1945,0,98126,47.5357,-122.368,1180,6250,69,0
9541600015,660000,2015,2,11,4,2.25,2010,15375,1,0,0,4,8,2010,0,1957,0,98005,47.5956,-122.174,1930,15375,58,0
254000075,368000,2014,5,19,2,1.5,1660,4680,1,0,0,5,6,830,830,1908,0,98146,47.5134,-122.388,1930,5400,106,0
4442800012,465000,2014,12,18,3,2.5,1600,1311,3,0,0,3,8,1600,0,2005,0,98117,47.6903,-122.394,1390,1321,9,0
5045700090,480000,2015,1,6,5,2.75,2670,4780,2,0,0,3,8,2670,0,2013,0,98059,47.4866,-122.155,2560,5380,2,0
1829300130,795000,2014,7,17,4,2.5,3160,16564,2,0,0,3,10,3160,0,1987,0,98074,47.6365,-122.04,3160,12415,27,0
2768301217,580000,2015,5,6,3,2.5,1980,1873,2,0,0,3,7,1470,510,1996,0,98107,47.6659,-122.369,1500,1873,19,0
4073800140,429000,2014,8,11,3,3.25,2210,3600,2,0,0,3,8,1820,390,1995,0,98125,47.7031,-122.279,2010,6690,19,0
2310030390,275000,2015,4,29,3,1.75,1180,6260,1,0,0,4,8,1180,0,1993,0,98038,47.3531,-122.048,1580,7272,22,0
9578080130,625000,2014,7,2,3,3,1820,1641,3,0,0,3,8,1540,280,2006,0,98119,47.6482,-122.358,1720,1501,8,0
2555900030,320000,2014,11,7,3,1,1520,8870,1,0,0,4,7,1520,0,1951,0,98155,47.7638,-122.317,1520,7800,63,0
2719100355,660000,2014,11,4,3,2.25,2280,6150,2,0,2,3,8,2280,0,1984,0,98136,47.5423,-122.385,1920,6150,30,0
